,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
758,CA1910032,DISTRICT 07 - HOLLYWOOD,FOOTHILL MUNICIPAL WATER DIST.,0,0,0,0,0,0,0,19,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,4,-1,34.1993183,-118.1859297,No,LOS ANGELES,0,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-023,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.93,0.07,NotExpected,0.939,0.061,NotExpected,0.947,0.053,NotExpected,0.962,0.038,NotExpected,0.97,0.03,NotExpected
759,CA1910033,DISTRICT 22 - ANGELES,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,0,0,0,0,0,0,0,32996,143227,0,0,0,0,-1,0,0,0,0,1,0,0,1,2,-1,33.8116555,-118.3337298,No,LOS ANGELES,9,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.99,0.01,NotExpected,0.994,0.006,NotExpected,0.996,0.004,NotExpected,0.997,0.003,NotExpected,0.998,0.002,NotExpected
760,CA1910034,DISTRICT 16 - CENTRAL,"DOWNEY - CITY, WATER DEPT.",0,0,0,0,0,0,0,23010,112214,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,33.8116555,-118.3337298,No,LOS ANGELES,20,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.987,0.013,NotExpected,0.997,0.003,NotExpected,0.995,0.005,NotExpected,0.997,0.003,NotExpected,0.998,0.002,NotExpected
761,CA1910035,DISTRICT 07 - HOLLYWOOD,KINNELOA IRRIGATION DIST.,0,0,0,0,0,0,0,588,1940,0,0,0,0,1153,0,0,0,0,0,1,1,2,4,0.333333333,34.1789795,-118.0915784,No,LOS ANGELES,7,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,FR-4,FR-999,0-000,4-023,0-000,0-000,0-000,0,146.4285714,117.3228361,2,0.926,0.074,NotExpected,0.946,0.054,NotExpected,0.947,0.053,NotExpected,0.944,0.056,NotExpected,0.947,0.053,NotExpected
762,CA1910036,DISTRICT 22 - ANGELES,CALIFORNIA WATER SERVICE CO. - ELA,0,0,0,0,0,0,0,24371,151576,0,0,0,0,-1,0,0,0,0,1,0,0,1,2,-1,34.0056001,-118.141069,No,LOS ANGELES,11,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.993,0.007,NotExpected,0.996,0.004,NotExpected,0.999,0.001,NotExpected,0.998,0.002,NotExpected,0.998,0.002,NotExpected
763,CA1910038,DISTRICT 16 - CENTRAL,"EL MONTE-CITY, WATER DEPT.",0,0,0,0,0,0,0,3525,22968,0,0,0,0,-1,0,0,0,0,1,2,1,0,4,0,34.0797668,-118.0441321,No,LOS ANGELES,9,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.976,0.024,NotExpected,0.988,0.012,NotExpected,0.991,0.009,NotExpected,0.988,0.012,NotExpected,0.995,0.005,NotExpected
764,CA1910039,DISTRICT 22 - ANGELES,SAN GABRIEL VALLEY WATER CO.-EL MONTE,0,0,0,0,0,0,0,46080,254000,0,0,0,0,-1,0,0,0,0,2,2,2,2,8,-1,34.0625523,-118.0325602,No,LOS ANGELES,31,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-0114-013,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.951,0.049,NotExpected,0.956,0.044,NotExpected,0.968,0.032,NotExpected,0.961,0.039,NotExpected,0.971,0.029,NotExpected
765,CA1910040,DISTRICT 15 - METROPOLITAN,"EL SEGUNDO-CITY, WATER DEPT.",0,0,0,0,0,0,0,4973,16719,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,33.9205737,-118.4074373,No,LOS ANGELES,0,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.96,0.04,NotExpected,0.986,0.014,NotExpected,0.983,0.017,NotExpected,0.985,0.015,NotExpected,0.989,0.011,NotExpected
766,CA1910041,DISTRICT 07 - HOLLYWOOD,THREE VALLEYS MWD,0,0,0,0,0,0,0,14,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,4,-1,34.1290138,-117.6968094,No,LOS ANGELES,3,1,NotInCurtailedWatershed,1807,HUC8_Coast,18070203,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,0,146.4285714,201.0948396,2,0.937,0.063,NotExpected,0.946,0.054,NotExpected,0.948,0.052,NotExpected,0.958,0.042,NotExpected,0.963,0.037,NotExpected
767,CA1910042,DISTRICT 07 - HOLLYWOOD,"PICO RIVERA - CITY, WATER DEPT.",0,0,0,0,0,0,0,9457,40205,0,0,0,0,-1,0,0,0,0,0,1,1,0,2,0,33.982496,-118.0885377,No,LOS ANGELES,9,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.991,0.009,NotExpected,0.997,0.003,NotExpected,0.994,0.006,NotExpected,0.996,0.004,NotExpected,0.999,0.001,NotExpected
768,CA1910043,DISTRICT 15 - METROPOLITAN,"GLENDALE-CITY, WATER DEPT.",0,0,0,0,0,0,0,34288,205331,0,0,0,0,-1,0,0,0,0,1,1,1,2,5,-1,34.1478242,-118.2470889,No,LOS ANGELES,13,1,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-012,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.924,0.076,NotExpected,0.924,0.076,NotExpected,0.931,0.069,NotExpected,0.94,0.06,NotExpected,0.941,0.059,NotExpected
769,CA1910044,DISTRICT 07 - HOLLYWOOD,"GLENDORA-CITY, WATER DEPT.",0,0,0,0,0,0,0,13744,45355,0,0,0,0,-1,0,0,2,2,1,2,0,1,8,0,34.1353015,-117.864934,No,LOS ANGELES,8,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.957,0.043,NotExpected,0.961,0.039,NotExpected,0.979,0.021,NotExpected,0.975,0.025,NotExpected,0.975,0.025,NotExpected
770,CA1910045,DISTRICT 16 - CENTRAL,ANTELOPE VALLEY EAST KERN WATER AGENCY,0,0,0,0,0,0,0,49,0,0,0,0,0,-1,0,0,2,0,1,1,1,2,7,-1,34.630082,-118.2455471,No,LOS ANGELES,17,3,NotInCurtailedWatershed,1809,HUC8_Other,HUC8_Other,18090206,6,0-000,0-000,0-000,0-000,6-044,0-000,0,146.4285714,17.72304317,2,0.716,0.284,NotExpected,0.751,0.249,NotExpected,0.803,0.197,NotExpected,0.786,0.214,NotExpected,0.781,0.219,NotExpected
771,CA1910046,DISTRICT 07 - HOLLYWOOD,SUBURBAN WATER SYSTEMS-GLENDORA,0,0,0,0,0,0,0,1546,6543,0,0,0,0,-1,0,0,0,0,2,0,2,2,6,0,34.103624,-117.8733553,No,LOS ANGELES,0,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.954,0.046,NotExpected,0.976,0.024,NotExpected,0.98,0.02,NotExpected,0.975,0.025,NotExpected,0.991,0.009,NotExpected
772,CA1910047,DISTRICT 22 - ANGELES,HAWTHORNE-CITY WATER DEPT.,0,0,0,0,0,0,0,6218,44690,0,0,0,0,-1,0,0,0,0,1,0,0,1,2,0,33.9184781,-118.3566501,No,LOS ANGELES,1,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.982,0.018,NotExpected,0.988,0.012,NotExpected,0.99,0.01,NotExpected,0.993,0.007,NotExpected,0.995,0.005,NotExpected
773,CA1910048,DISTRICT 22 - ANGELES,SANTA CLARITA VALLEY W.A.-IMPORTED DIVIS,0,0,0,0,0,0,0,26,0,0,0,0,0,-1,0,0,0,0,0,1,2,2,5,-1,34.4354444,-118.5210012,No,LOS ANGELES,2,1,NotInCurtailedWatershed,1807,HUC8_Coast,18070102,HUC8_Coast,FR-4,FR-999,0-000,4-004,0-000,0-000,0-000,0,146.4285714,114.0906851,1,0.815,0.185,NotExpected,0.832,0.168,NotExpected,0.833,0.167,NotExpected,0.829,0.171,NotExpected,0.829,0.171,NotExpected
774,CA1910049,DISTRICT 22 - ANGELES,"HUNTINGTON PARK-CITY, WATER DEPT.",0,0,0,0,0,0,0,5572,15414,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,33.9757659,-118.205557,No,LOS ANGELES,4,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.985,0.015,NotExpected,0.992,0.008,NotExpected,0.996,0.004,NotExpected,0.995,0.005,NotExpected,0.994,0.006,NotExpected
775,CA1910050,DISTRICT 22 - ANGELES,"COMMERCE-CITY, WATER DEPT.",0,0,0,0,0,0,0,991,4203,0,0,0,0,2359,0,0,0,0,1,0,0,1,2,0,34.0056001,-118.141069,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.977,0.023,NotExpected,0.989,0.011,NotExpected,0.993,0.007,NotExpected,0.992,0.008,NotExpected,0.995,0.005,NotExpected
776,CA1910051,DISTRICT 15 - METROPOLITAN,"INGLEWOOD- CITY, WATER DEPT.",0,0,0,0,0,0,0,15795,86584,0,0,0,0,-1,0,0,0,0,0,1,0,1,2,0,33.9537917,-118.3520389,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.988,0.012,NotExpected,0.994,0.006,NotExpected,0.992,0.008,NotExpected,0.995,0.005,NotExpected,0.995,0.005,NotExpected
777,CA1910052,DISTRICT 07 - HOLLYWOOD,CAL/AM WATER COMPANY - BALDWIN HILLS,0,0,0,0,0,0,0,6262,20665,0,0,0,0,-1,0,0,0,0,0,1,0,1,2,0,34.092435,-118.0803525,No,LOS ANGELES,4,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.988,0.012,NotExpected,0.99,0.01,NotExpected,0.996,0.004,NotExpected,0.995,0.005,NotExpected,0.998,0.002,NotExpected
778,CA1910053,DISTRICT 22 - ANGELES,HEMLOCK MUTUAL WATER CO.,0,0,0,0,0,0,0,208,686,0.5,0,0,0,2082,0,0,0,0,1,1,0,0,2,0.333333333,34.0947436,-118.0067835,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,0,146.4285714,117.3228361,1,0.953,0.047,NotExpected,0.975,0.025,NotExpected,0.981,0.019,NotExpected,0.978,0.022,NotExpected,0.982,0.018,NotExpected
779,CA1910054,DISTRICT 16 - CENTRAL,LA CANADA IRRIGATION DIST.,0,0,0,0,0,0,0,2946,9300,0,0,0,0,2366,0,0,0,0,0,2,1,2,5,0,34.2090542,-118.2096216,No,LOS ANGELES,1,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.925,0.075,NotExpected,0.941,0.059,NotExpected,0.944,0.056,NotExpected,0.939,0.061,NotExpected,0.948,0.052,NotExpected
780,CA1910056,DISTRICT 07 - HOLLYWOOD,LAKE ELIZABETH MUTUAL WATER CO.,0,0,0,0,0,0,0,724,1790,0,0,0,0,2233,0,0,0,0,0,1,1,0,2,0,34.6664116,-118.3915039,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070102,HUC8_Coast,6,0-000,0-000,0-000,0-000,6-044,0-000,1,146.4285714,114.0906851,1,0.656,0.344,NotExpected,0.691,0.309,NotExpected,0.656,0.344,NotExpected,0.646,0.354,NotExpected,0.647,0.353,NotExpected
781,CA1910059,DISTRICT 07 - HOLLYWOOD,SUBURBAN WATER SYSTEMS-LA MIRADA,0,0,0,0,0,0,0,15214,55223,0,0,0,0,-1,0,0,0,0,0,1,1,1,3,0,34.103624,-117.8733553,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.995,0.005,NotExpected,0.996,0.004,NotExpected,0.993,0.007,NotExpected,0.995,0.005,NotExpected,0.997,0.003,NotExpected
782,CA1910060,DISTRICT 16 - CENTRAL,LA PUENTE VALLEY CWD,0,0,0,0,0,0,0,2457,8108,0,0,0,0,2362,0,0,0,0,0,1,0,0,1,0,34.0205301,-117.9523361,No,LOS ANGELES,3,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.968,0.032,NotExpected,0.986,0.014,NotExpected,0.988,0.012,NotExpected,0.987,0.013,NotExpected,0.994,0.006,NotExpected
783,CA1910061,DISTRICT 16 - CENTRAL,LAS FLORES WATER CO.,0,0,0,0,0,0,0,1479,4844,0,0,0,0,1993,0,0,0,0,0,0,2,1,3,0,34.1823833,-118.1418232,No,LOS ANGELES,1,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-023,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.922,0.078,NotExpected,0.933,0.067,NotExpected,0.932,0.068,NotExpected,0.933,0.067,NotExpected,0.936,0.064,NotExpected
784,CA1910062,DISTRICT 15 - METROPOLITAN,"LA VERNE, CITY WD",0,0,0,0,0,0,0,8794,32206,0,0,0,0,-1,0,0,0,0,1,2,0,1,4,0,34.1120128,-117.7650534,No,LOS ANGELES,8,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.989,0.011,NotExpected,0.994,0.006,NotExpected,0.993,0.007,NotExpected,0.99,0.01,NotExpected,0.995,0.005,NotExpected
785,CA1910063,DISTRICT 16 - CENTRAL,LINCOLN AVENUE WATER CO.,0,0,0,0,0,0,0,4476,16126,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,34.193513,-118.160427,No,LOS ANGELES,3,1,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,FR-4,FR-999,0-000,4-023,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.92,0.08,NotExpected,0.916,0.084,NotExpected,0.936,0.064,NotExpected,0.939,0.061,NotExpected,0.93,0.07,NotExpected
786,CA1910064,DISTRICT 07 - HOLLYWOOD,LITTLEROCK CREEK IRRIGATION DIST.,0,0,0,0,0,0,0,1352,3488,0,0,0,0,2292,0,0,0,0,1,1,1,1,4,0,34.5205281,-117.9749321,No,LOS ANGELES,4,0,NotInCurtailedWatershed,1809,HUC8_Other,HUC8_Other,18090206,6,0-000,0-000,0-000,0-000,6-044,0-000,1,146.4285714,17.72304317,2,0.741,0.259,NotExpected,0.778,0.222,NotExpected,0.768,0.232,NotExpected,0.775,0.225,NotExpected,0.756,0.244,NotExpected
787,CA1910065,DISTRICT 07 - HOLLYWOOD,"LONG BEACH-CITY, WATER DEPT.",0,0,0,0,0,0,0,88879,472217,0,0,0,0,-1,0,0,0,0,2,2,2,2,8,-1,33.8177675,-118.1704137,No,LOS ANGELES,24,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.984,0.016,NotExpected,0.99,0.01,NotExpected,0.992,0.008,NotExpected,0.99,0.01,NotExpected,0.992,0.008,NotExpected
788,CA1910066,DISTRICT 22 - ANGELES,LEISURE LAKE MOBILE ESTATES,0,0,0,0,0,0,0,211,325,0.5,0,0,0,1839,0,0,0,0,0,0,0,0,0,0.333333333,34.760362,-118.1678692,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1809,HUC8_Other,HUC8_Other,18090206,6,0-000,0-000,0-000,0-000,6-044,0-000,0,146.4285714,17.72304317,1,0.675,0.325,NotExpected,0.686,0.314,NotExpected,0.693,0.307,NotExpected,0.696,0.304,NotExpected,0.708,0.292,NotExpected
789,CA1910067,DISTRICT 15 - METROPOLITAN,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",0,0,0,0,0,0,0,725246,4041284,0,0,0,0,-1,0,0,0,0,2,2,2,2,8,-1,34.0578497,-118.2492154,No,LOS ANGELES,49,4,NotInCurtailedWatershed,1807,HUC8_Coast,18070104,HUC8_Coast,FR-4,FR-999,0-000,4-0114-012,0-000,0-000,0-000,1,146.4285714,11.63326813,1,0.845,0.155,NotExpected,0.873,0.127,NotExpected,0.86,0.14,NotExpected,0.877,0.123,NotExpected,0.878,0.122,NotExpected
790,CA1910070,DISTRICT 16 - CENTRAL,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER",0,0,0,0,0,0,0,51516,187372,0,0,0,0,-1,0,0,0,0,2,2,2,2,8,-1,34.0849831,-118.1501197,No,LOS ANGELES,43,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,6,0-000,0-000,0-000,0-000,6-044,0-000,1,146.4285714,117.3228361,1,0.964,0.036,NotExpected,0.969,0.031,NotExpected,0.976,0.024,NotExpected,0.969,0.031,NotExpected,0.98,0.02,NotExpected
791,CA1910072,DISTRICT 15 - METROPOLITAN,GSWC - WILLOWBROOK,0,0,0,0,0,0,0,1450,11069,0,0,0,0,2307,0,0,0,0,0,0,0,0,0,0,33.9620372,-118.0593621,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.984,0.016,NotExpected,0.987,0.013,NotExpected,0.986,0.014,NotExpected,0.993,0.007,NotExpected,0.995,0.005,NotExpected
792,CA1910073,DISTRICT 07 - HOLLYWOOD,"LOMITA-CITY, WATER DEPT.",0,0,0,0,0,0,0,4391,20256,0,0,0,0,-1,0,0,0,0,0,0,0,2,2,0,33.8046858,-118.319209,No,LOS ANGELES,0,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,2,0.965,0.035,NotExpected,0.986,0.014,NotExpected,0.987,0.013,NotExpected,0.985,0.015,NotExpected,0.993,0.007,NotExpected
793,CA1910075,DISTRICT 16 - CENTRAL,LOS ANGELES CWWD 21-KAGEL CANYON,0,0,0,0,0,0,0,250,559,0,0,0,0,1818,0,0,0,0,0,0,0,1,1,1,34.0849831,-118.1501197,No,LOS ANGELES,0,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.963,0.037,NotExpected,0.976,0.024,NotExpected,0.979,0.021,NotExpected,0.979,0.021,NotExpected,0.982,0.018,NotExpected
794,CA1910077,DISTRICT 15 - METROPOLITAN,GSWC - FLORENCE/GRAHAM,0,0,0,0,0,0,0,9726,66422,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,33.9620372,-118.0593621,No,LOS ANGELES,7,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070106,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,68.43379361,1,0.991,0.009,NotExpected,0.997,0.003,NotExpected,0.994,0.006,NotExpected,0.996,0.004,NotExpected,0.997,0.003,NotExpected
795,CA1910079,DISTRICT 22 - ANGELES,"LYNWOOD-CITY, WATER DEPT.",0,0,0,0,0,0,0,9112,66967,0,0,0,0,-1,0,0,0,0,2,2,1,1,6,0,33.9263973,-118.1990681,No,LOS ANGELES,4,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.989,0.011,NotExpected,0.992,0.008,NotExpected,0.994,0.006,NotExpected,0.99,0.01,NotExpected,0.994,0.006,NotExpected
796,CA1910081,DISTRICT 16 - CENTRAL,LYNWOOD PARK MUTUAL WATER CO.,0,0,0,0,0,0,0,470,2300,0,0,0,0,1336,0,0,0,0,1,1,2,2,6,0.333333333,33.9196594,-118.2248166,No,LOS ANGELES,3,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,0,146.4285714,117.3228361,1,0.955,0.045,NotExpected,0.972,0.028,NotExpected,0.986,0.014,NotExpected,0.986,0.014,NotExpected,0.987,0.013,NotExpected
797,CA1910083,DISTRICT 16 - CENTRAL,"MANHATTAN BEACH-CITY, WATER DEPT.",0,0,0,0,0,0,0,13445,35183,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,33.8874169,-118.4107699,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070104,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,11.63326813,1,0.914,0.086,NotExpected,0.888,0.112,NotExpected,0.893,0.107,NotExpected,0.877,0.123,NotExpected,0.889,0.111,NotExpected
798,CA1910084,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #1,0,0,0,0,0,0,0,1163,5500,0,0,0,0,2360,0,0,0,0,0,0,0,0,0,0,33.9866468,-118.1926476,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.985,0.015,NotExpected,0.991,0.009,NotExpected,0.992,0.008,NotExpected,0.996,0.004,NotExpected,0.997,0.003,NotExpected
799,CA1910085,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #2,0,0,0,0,0,0,0,1924,7118,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,33.9888213,-118.2020505,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,2,0.986,0.014,NotExpected,0.991,0.009,NotExpected,0.992,0.008,NotExpected,0.996,0.004,NotExpected,0.997,0.003,NotExpected
800,CA1910086,DISTRICT 16 - CENTRAL,MAYWOOD MUTUAL WATER CO. #3,0,0,0,0,0,0,0,2014,9500,0,0,0,0,2364,0,0,0,0,0,1,0,0,1,0,33.9813415,-118.1800127,No,LOS ANGELES,3,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.981,0.019,NotExpected,0.992,0.008,NotExpected,0.995,0.005,NotExpected,0.996,0.004,NotExpected,0.997,0.003,NotExpected
801,CA1910087,DISTRICT 16 - CENTRAL,METROPOLITAN WATER DIST. OF SO. CAL.,0,0,0,0,0,0,0,308,0,0,0,0,0,-1,0,0,0,0,2,0,2,2,6,-1,34.0550965,-118.236498,No,LOS ANGELES,1,17,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,FR-4689,FR-999,0-000,4-012,0-000,6-042,8-0028-0059-005,0,146.4285714,117.3228361,2,0.905,0.095,NotExpected,0.907,0.093,NotExpected,0.935,0.065,NotExpected,0.943,0.057,NotExpected,0.948,0.052,NotExpected
802,CA1910090,DISTRICT 22 - ANGELES,"MONROVIA-CITY, WATER DEPT.",0,0,0,0,0,0,0,10328,37787,0,0,0,0,-1,0,0,0,0,1,2,2,2,7,0,34.1451681,-117.9858072,No,LOS ANGELES,5,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.982,0.018,NotExpected,0.988,0.012,NotExpected,0.99,0.01,NotExpected,0.992,0.008,NotExpected,0.991,0.009,NotExpected
803,CA1910091,DISTRICT 16 - CENTRAL,MONTEBELLO LAND & WATER CO.,0,0,0,0,0,0,0,3932,26554,0,0,0,0,-1,0,0,0,0,0,1,0,1,2,0,34.0113675,-118.0961966,No,LOS ANGELES,7,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-011,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.988,0.012,NotExpected,0.994,0.006,NotExpected,0.996,0.004,NotExpected,0.994,0.006,NotExpected,0.996,0.004,NotExpected
804,CA1910092,DISTRICT 07 - HOLLYWOOD,"MONTEREY PARK-CITY, WATER DEPT.",0,0,0,0,0,0,0,13585,62183,0,0,0,0,-1,0,0,0,0,0,1,1,1,3,0,34.0590475,-118.12594,No,LOS ANGELES,8,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070105,HUC8_Coast,4,0-000,0-000,4-013,0-000,0-000,0-000,1,146.4285714,117.3228361,1,0.994,0.006,NotExpected,0.996,0.004,NotExpected,0.996,0.004,NotExpected,0.992,0.008,NotExpected,0.995,0.005,NotExpected
805,CA1910096,DISTRICT 15 - METROPOLITAN,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,0,0,0,0,0,0,0,3814,16959,0,0,0,0,-1,0,0,0,0,0,1,2,2,5,0,34.3691032,-118.5221492,No,LOS ANGELES,2,0,NotInCurtailedWatershed,1807,HUC8_Coast,18070102,HUC8_Coast,4,0-000,0-000,4-004,0-000,0-000,0-000,1,146.4285714,114.0906851,2,0.753,0.247,NotExpected,0.757,0.243,NotExpected,0.733,0.267,NotExpected,0.75,0.25,NotExpected,0.726,0.274,NotExpected
