,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
11,CA0110011,DISTRICT 04 - SAN FRANCISCO,CITY OF LIVERMORE,0,0,0,0,0,0,0,10034,30000,0,0,0,0,-1,0,0,0,0,2,0,1,0,3,0,37.6911361,-121.8071483,No,ALAMEDA,0,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-010,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.868,0.132,NotExpected,0.876,0.124,NotExpected,0.89,0.11,NotExpected,0.878,0.122,NotExpected,0.883,0.117,NotExpected
12,CA0110012,DISTRICT 04 - SAN FRANCISCO,TOWN OF SUNOL - SFPUC,0,0,0,0,0,0,0,126,352,0,0,0,0,-1,0,0,0,0,1,0,1,0,2,1,37.5867626,-121.8334868,No,ALAMEDA,0,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-011,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.802,0.198,NotExpected,0.84,0.16,NotExpected,0.836,0.164,NotExpected,0.829,0.171,NotExpected,0.84,0.16,NotExpected
13,CA0110016,DISTRICT 04 - SAN FRANCISCO,ALAMEDA POINT,0,0,0,0,0,0,0,412,1500,0,0,0,0,1519,0,0,0,0,0,0,0,0,0,1,37.7865822,-122.302143,No,ALAMEDA,0,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-009,0-000,0-000,0-000,0-000,1,256.6857143,21.21512239,1,0.916,0.084,NotExpected,0.952,0.048,NotExpected,0.948,0.052,NotExpected,0.955,0.045,NotExpected,0.955,0.045,NotExpected
14,CA0110018,DISTRICT 04 - SAN FRANCISCO,SFPUC-PLEASANTON WELLS,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,37.6436199,-121.8676464,No,ALAMEDA,2,0,NotInCurtailedWatershed,1805,HUC8_Coast,18050004,HUC8_Coast,2,0-000,2-010,0-000,0-000,0-000,0-000,0,256.6857143,21.21512239,1,0.848,0.152,NotExpected,0.897,0.103,NotExpected,0.9,0.1,NotExpected,0.898,0.102,NotExpected,0.904,0.096,NotExpected
15,CA0202503,LPA32 - ALPINE COUNTY,WOODFORDS MUTUAL WATER COMPANY,0,0,0,0,0,0,0,16,50,0.5,0,0,1,1495,0,0,0,0,0,1,1,0,2,1,38.6937227,-119.7796826,No,ALPINE,2,0,PartialSJ,1605,HUC8_Other,HUC8_Other,16050201,5A6,0-000,0-000,0-000,5-022,6-006,0-000,0,221.7904762,178.3859792,2,0.537,0.463,NotExpected,0.569,0.431,NotExpected,0.573,0.427,NotExpected,0.576,0.424,NotExpected,0.575,0.425,NotExpected
16,CA0202504,LPA32 - ALPINE COUNTY,MARKLEEVILLE WATER CO.,0,0,0,0,0,0,0,167,25,0,0,0,0,309,0,0,0,0,1,1,2,0,4,0.5,38.6937227,-119.7796826,No,ALPINE,2,1,NotInCurtailedWatershed,1605,HUC8_Other,HUC8_Other,16050201,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.7904762,178.3859792,1,0.538,0.462,NotExpected,0.553,0.447,NotExpected,0.55,0.45,NotExpected,0.608,0.392,NotExpected,0.604,0.396,NotExpected
17,CA0202522,LPA32 - ALPINE COUNTY,SIERRA PINES MOBILE HOME PARK,0,0,0,0,0,0,0,32,70,1,0,0,0,571,0,0,0,0,0,0,0,0,0,1.5,38.7576691,-119.8164658,No,ALPINE,1,0,NotInCurtailedWatershed,1605,HUC8_Other,HUC8_Other,16050201,6,0-000,0-000,0-000,0-000,6-006,0-000,0,221.7904762,178.3859792,2,0.421,0.579,Expected,0.458,0.542,Expected,0.452,0.548,Expected,0.454,0.546,Expected,0.453,0.547,Expected
18,CA0210001,DISTRICT 10 - STOCKTON,LAKE ALPINE WATER COMPANY,0,0,0,0,0,0,0,488,625,1,0,0,0,1150,1,0,0,0,2,0,2,0,4,1.333333333,38.4719825,-120.0441826,No,ALPINE,0,1,SanJoaquinRiver,1804,18040010,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.7904762,514.9422703,1,0.324,0.676,Expected,0.33,0.67,Expected,0.328,0.672,Expected,0.353,0.647,Expected,0.367,0.633,Expected
19,CA0210002,DISTRICT 09 - SACRAMENTO,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,0,0,0,0,0,0,0,863,7851,0,0,0,0,1761,0,0,0,0,1,1,0,0,2,0.333333333,38.6899678,-120.0713531,No,ALPINE,4,0,SacramentoRiver,1802,18020129,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.7904762,480.7788518,1,0.334,0.666,Expected,0.375,0.625,Expected,0.334,0.666,Expected,0.333,0.667,Expected,0.319,0.681,Expected
20,CA0300010,DISTRICT 10 - STOCKTON,DRYTOWN COUNTY WATER DISTRICT,0,0,0,0,0,0,0,66,214,0,0,0,0,1986,0,0,0,0,0,0,0,0,0,1,38.4410213,-120.8543816,No,AMADOR,0,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,6935.890773,1,0.818,0.182,NotExpected,0.837,0.163,NotExpected,0.821,0.179,NotExpected,0.832,0.168,NotExpected,0.845,0.155,NotExpected
