PWSID,Groundwater,Surface Water,Interties
CA0500090,1,0,0
CA0500091,3,1,0
CA0500095,2,0,0
CA0500097,1,0,0
CA0500099,2,0,0
CA0500102,2,0,0
CA0500103,2,0,0
CA0500104,1,0,0
CA0500105,2,0,0
CA0500106,1,0,0
CA0500107,1,0,0
CA0510001,0,1,0
CA0510002,0,1,0
CA0510003,0,1,0
CA0510004,0,1,0
CA0510005,0,2,0
CA0510006,0,1,0
CA0510010,2,0,0
CA0510012,0,2,0
CA0510016,0,3,0
CA0510017,0,1,0
CA0510019,2,0,0
CA0600001,1,0,0
CA0600003,1,0,0
CA0600005,1,0,0
CA0600008,2,0,0
CA0600009,2,0,0
CA0600012,3,1,0
CA0600013,2,0,0
CA0600016,2,0,0
CA0600027,1,0,0
CA0600032,1,0,0
CA0600033,1,0,0
CA0710002,2,3,3
CA0600042,1,0,0
CA0600050,1,0,0
CA0600056,1,0,0
CA0910007,5,0,3
CA0600065,2,0,0
CA0600076,1,0,0
CA0605002,3,0,0
CA0605004,1,0,0
CA0605005,1,0,0
CA0605006,1,0,0
CA0605007,1,0,0
CA0605011,2,0,0
CA0605012,1,0,0
CA0605013,1,0,0
CA0605015,1,0,0
CA0610001,4,0,0
CA0610002,5,0,0
CA0610003,2,0,0
CA0610004,2,0,0
CA0701706,0,1,0
CA0701707,0,1,0
CA0706000,0,1,0
CA0706004,1,0,0
CA0706005,1,0,0
CA0706007,1,0,0
CA0706015,1,0,0
CA0706018,1,0,0
CA0706022,1,0,0
CA0706023,1,0,0
CA0706028,1,0,0
CA0706029,1,0,0
CA0706030,1,0,0
CA0706031,1,0,0
CA0706032,1,0,0
CA0706034,1,0,0
CA0706037,1,0,0
CA0706045,1,0,0
CA0706049,1,0,0
CA0706050,2,0,0
CA0706054,1,0,0
CA0706056,1,0,0
CA0706059,1,0,0
CA0706102,1,0,0
CA0706110,1,0,0
CA0706111,1,0,0
CA0706112,1,0,0
CA0707501,1,0,0
CA0707502,1,0,0
CA0707503,1,0,0
CA0707504,1,0,0
CA0707507,2,0,0
CA0707509,1,0,0
CA0707511,1,0,0
CA0707517,1,0,0
CA0707519,1,0,0
CA0707521,1,0,0
CA0707523,1,0,0
CA0707528,1,0,0
CA0707532,1,0,0
CA0707534,1,0,0
CA0707542,1,0,0
CA0707545,2,0,0
CA0707546,1,0,0
CA0707547,1,0,0
CA0707550,1,0,0
CA0707553,1,0,0
CA0707556,1,0,0
CA0707562,1,0,0
CA0707564,1,0,0
CA0707568,1,0,0
CA0707569,3,0,0
CA0707570,1,0,0
CA0707572,1,0,0
CA0707573,2,0,0
CA0707575,1,0,0
CA0707576,3,0,0
CA0707577,2,0,0
CA0707580,1,0,0
CA0707581,1,0,0
CA0707585,1,0,0
CA0707588,2,0,0
CA0707589,1,0,0
CA0707591,1,0,0
CA0707592,1,0,0
CA0707594,1,0,0
CA0707595,1,0,0
CA0707597,1,0,0
CA0707598,1,0,0
CA0707601,1,0,0
CA0707603,0,1,1
CA0707608,1,0,0
CA0710004,6,2,2
CA0707613,1,0,0
CA0707615,2,0,0
CA0707617,1,0,0
CA0707620,1,0,0
CA0707623,1,0,0
CA0707625,3,0,0
CA0707630,1,0,0
CA0910019,2,1,1
CA0707637,1,0,0
